app_proto,network_port,network_proto,proto,network_description,network_reference,network_known_unauthorized_use,network_notes
umsp,2110,tcp,6,UMSP,,,
umsp,2110,udp,17,UMSP,,,
dsatp,2111,tcp,6,OPNET Dynamic Sampling Agent Transaction Protocol,,,
dsatp,2111,udp,17,OPNET Dynamic Sampling Agent Transaction Protocol,,,
idonix-metanet,2112,tcp,6,Idonix MetaNet,,,
idonix-metanet,2112,udp,17,Idonix MetaNet,,,
hsl-storm,2113,tcp,6,HSL StoRM,,,
hsl-storm,2113,udp,17,HSL StoRM,,,
ariascribe,2114,tcp,6,Classical Music Meta-Data Access and Enhancement,,,
ariascribe,2114,udp,17,Classical Music Meta-Data Access and Enhancement,,,
kdm,2115,tcp,6,Key Distribution Manager,,,
kdm,2115,udp,17,Key Distribution Manager,,,
ccowcmr,2116,tcp,6,CCOWCMR,,,
ccowcmr,2116,udp,17,CCOWCMR,,,
mentaclient,2117,tcp,6,MENTACLIENT,,,
mentaclient,2117,udp,17,MENTACLIENT,,,
mentaserver,2118,tcp,6,MENTASERVER,,,
mentaserver,2118,udp,17,MENTASERVER,,,
gsigatekeeper,2119,tcp,6,GSIGATEKEEPER,,,
gsigatekeeper,2119,udp,17,GSIGATEKEEPER,,,
qencp,2120,tcp,6,Quick Eagle Networks CP,,,
qencp,2120,udp,17,Quick Eagle Networks CP,,,
scientia-ssdb,2121,tcp,6,SCIENTIA-SSDB,,,
scientia-ssdb,2121,udp,17,SCIENTIA-SSDB,,,
caupc-remote,2122,tcp,6,CauPC Remote Control,,,
caupc-remote,2122,udp,17,CauPC Remote Control,,,
gtp-control,2123,tcp,6,GTP-Control Plane (3GPP),,,
gtp-control,2123,udp,17,GTP-Control Plane (3GPP),,,
elatelink,2124,tcp,6,ELATELINK,,,
elatelink,2124,udp,17,ELATELINK,,,
lockstep,2125,tcp,6,LOCKSTEP,,,
lockstep,2125,udp,17,LOCKSTEP,,,
pktcable-cops,2126,tcp,6,PktCable-COPS,,,
pktcable-cops,2126,udp,17,PktCable-COPS,,,
index-pc-wb,2127,tcp,6,INDEX-PC-WB,,,
index-pc-wb,2127,udp,17,INDEX-PC-WB,,,
net-steward,2128,tcp,6,Net Steward Control,,,
net-steward,2128,udp,17,Net Steward Control,,,
cs-live,2129,tcp,6,cs-live.com,,,
cs-live,2129,udp,17,cs-live.com,,,
xds,2130,tcp,6,XDS,,,
xds,2130,udp,17,XDS,,,
avantageb2b,2131,tcp,6,Avantageb2b,,,
avantageb2b,2131,udp,17,Avantageb2b,,,
solera-epmap,2132,tcp,6,SoleraTec End Point Map,,,
solera-epmap,2132,udp,17,SoleraTec End Point Map,,,
zymed-zpp,2133,tcp,6,ZYMED-ZPP,,,
zymed-zpp,2133,udp,17,ZYMED-ZPP,,,
avenue,2134,tcp,6,AVENUE,,,
avenue,2134,udp,17,AVENUE,,,
gris,2135,tcp,6,Grid Resource Information Server,,,
gris,2135,udp,17,Grid Resource Information Server,,,
appworxsrv,2136,tcp,6,APPWORXSRV,,,
appworxsrv,2136,udp,17,APPWORXSRV,,,
connect,2137,tcp,6,CONNECT,,,
connect,2137,udp,17,CONNECT,,,
unbind-cluster,2138,tcp,6,UNBIND-CLUSTER,,,
unbind-cluster,2138,udp,17,UNBIND-CLUSTER,,,
ias-auth,2139,tcp,6,IAS-AUTH,,,
ias-auth,2139,udp,17,IAS-AUTH,,,
ias-reg,2140,tcp,6,IAS-REG,,,
ias-reg,2140,udp,17,IAS-REG,,,
ias-admind,2141,tcp,6,IAS-ADMIND,,,
ias-admind,2141,udp,17,IAS-ADMIND,,,
tdmoip,2142,tcp,6,TDM OVER IP,[RFC5087],,
tdmoip,2142,udp,17,TDM OVER IP,[RFC5087],,
lv-jc,2143,tcp,6,Live Vault Job Control,,,
lv-jc,2143,udp,17,Live Vault Job Control,,,
lv-ffx,2144,tcp,6,Live Vault Fast Object Transfer,,,
lv-ffx,2144,udp,17,Live Vault Fast Object Transfer,,,
lv-pici,2145,tcp,6,Live Vault Remote Diagnostic Console Support,,,
lv-pici,2145,udp,17,Live Vault Remote Diagnostic Console Support,,,
lv-not,2146,tcp,6,Live Vault Admin Event Notification,,,
lv-not,2146,udp,17,Live Vault Admin Event Notification,,,
lv-auth,2147,tcp,6,Live Vault Authentication,,,
lv-auth,2147,udp,17,Live Vault Authentication,,,
veritas-ucl,2148,tcp,6,VERITAS UNIVERSAL COMMUNICATION LAYER,,,
veritas-ucl,2148,udp,17,VERITAS UNIVERSAL COMMUNICATION LAYER,,,
acptsys,2149,tcp,6,ACPTSYS,,,
acptsys,2149,udp,17,ACPTSYS,,,
dynamic3d,2150,tcp,6,DYNAMIC3D,,,
dynamic3d,2150,udp,17,DYNAMIC3D,,,
docent,2151,tcp,6,DOCENT,,,
docent,2151,udp,17,DOCENT,,,
gtp-user,2152,tcp,6,GTP-User Plane (3GPP),,,
gtp-user,2152,udp,17,GTP-User Plane (3GPP),,,
ctlptc,2153,tcp,6,Control Protocol,,,
ctlptc,2153,udp,17,Control Protocol,,,
stdptc,2154,tcp,6,Standard Protocol,,,
stdptc,2154,udp,17,Standard Protocol,,,
brdptc,2155,tcp,6,Bridge Protocol,,,
brdptc,2155,udp,17,Bridge Protocol,,,
trp,2156,tcp,6,Talari Reliable Protocol,,,
trp,2156,udp,17,Talari Reliable Protocol,,,
xnds,2157,tcp,6,Xerox Network Document Scan Protocol,,,
xnds,2157,udp,17,Xerox Network Document Scan Protocol,,,
touchnetplus,2158,tcp,6,TouchNetPlus Service,,,
touchnetplus,2158,udp,17,TouchNetPlus Service,,,
gdbremote,2159,tcp,6,GDB Remote Debug Port,,,
gdbremote,2159,udp,17,GDB Remote Debug Port,,,
apc-2160,2160,tcp,6,APC 2160,,,
apc-2160,2160,udp,17,APC 2160,,,
apc-2161,2161,tcp,6,APC 2161,,,
apc-2161,2161,udp,17,APC 2161,,,
navisphere,2162,tcp,6,Navisphere,,,
navisphere,2162,udp,17,Navisphere,,,
navisphere-sec,2163,tcp,6,Navisphere Secure,,,
navisphere-sec,2163,udp,17,Navisphere Secure,,,
ddns-v3,2164,tcp,6,Dynamic DNS Version 3,,,
ddns-v3,2164,udp,17,Dynamic DNS Version 3,,,
x-bone-api,2165,tcp,6,X-Bone API,,,
x-bone-api,2165,udp,17,X-Bone API,,,
iwserver,2166,tcp,6,iwserver,,,
iwserver,2166,udp,17,iwserver,,,
raw-serial,2167,tcp,6,Raw Async Serial Link,,,
raw-serial,2167,udp,17,Raw Async Serial Link,,,
easy-soft-mux,2168,tcp,6,easy-soft Multiplexer,,,
easy-soft-mux,2168,udp,17,easy-soft Multiplexer,,,
brain,2169,tcp,6,Backbone for Academic Information Notification (BRAIN),,,
brain,2169,udp,17,Backbone for Academic Information Notification (BRAIN),,,
eyetv,2170,tcp,6,EyeTV Server Port,,,
eyetv,2170,udp,17,EyeTV Server Port,,,
msfw-storage,2171,tcp,6,MS Firewall Storage,,,
msfw-storage,2171,udp,17,MS Firewall Storage,,,
msfw-s-storage,2172,tcp,6,MS Firewall SecureStorage,,,
msfw-s-storage,2172,udp,17,MS Firewall SecureStorage,,,
msfw-replica,2173,tcp,6,MS Firewall Replication,,,
msfw-replica,2173,udp,17,MS Firewall Replication,,,
msfw-array,2174,tcp,6,MS Firewall Intra Array,,,
msfw-array,2174,udp,17,MS Firewall Intra Array,,,
airsync,2175,tcp,6,Microsoft Desktop AirSync Protocol,,,
airsync,2175,udp,17,Microsoft Desktop AirSync Protocol,,,
rapi,2176,tcp,6,Microsoft ActiveSync Remote API,,,
rapi,2176,udp,17,Microsoft ActiveSync Remote API,,,
qwave,2177,tcp,6,qWAVE Bandwidth Estimate,,,
qwave,2177,udp,17,qWAVE Bandwidth Estimate,,,
bitspeer,2178,tcp,6,Peer Services for BITS,,,
bitspeer,2178,udp,17,Peer Services for BITS,,,
vmrdp,2179,tcp,6,Microsoft RDP for virtual machines,,,
vmrdp,2179,udp,17,Microsoft RDP for virtual machines,,,
mc-gt-srv,2180,tcp,6,Millicent Vendor Gateway Server,,,
mc-gt-srv,2180,udp,17,Millicent Vendor Gateway Server,,,
eforward,2181,tcp,6,eforward,,,
eforward,2181,udp,17,eforward,,,
cgn-stat,2182,tcp,6,CGN status,,,
cgn-stat,2182,udp,17,CGN status,,,
cgn-config,2183,tcp,6,Code Green configuration,,,
cgn-config,2183,udp,17,Code Green configuration,,,
nvd,2184,tcp,6,NVD User,,,
nvd,2184,udp,17,NVD User,,,
onbase-dds,2185,tcp,6,OnBase Distributed Disk Services,,,
onbase-dds,2185,udp,17,OnBase Distributed Disk Services,,,
gtaua,2186,tcp,6,Guy-Tek Automated Update Applications,,,
gtaua,2186,udp,17,Guy-Tek Automated Update Applications,,,
ssmc,2187,tcp,6,Sepehr System Management Control,,,
ssmd,2187,udp,17,Sepehr System Management Data,,,
radware-rpm,2188,tcp,6,Radware Resource Pool Manager,,,
UNDEFINED,2188,udp,17,Reserved,,,
radware-rpm-s,2189,tcp,6,Secure Radware Resource Pool Manager,,,
UNDEFINED,2189,udp,17,Reserved,,,
tivoconnect,2190,tcp,6,TiVoConnect Beacon,,,
tivoconnect,2190,udp,17,TiVoConnect Beacon,,,
tvbus,2191,tcp,6,TvBus Messaging,,,
tvbus,2191,udp,17,TvBus Messaging,,,
asdis,2192,tcp,6,ASDIS software management,,,
asdis,2192,udp,17,ASDIS software management,,,
drwcs,2193,tcp,6,Dr.Web Enterprise Management Service,,,
drwcs,2193,udp,17,Dr.Web Enterprise Management Service,,,
UNDEFINED,2194-2196,,,Unassigned,,Unauthorized Use Known on ports 2194-2196,
mnp-exchange,2197,tcp,6,MNP data exchange,,,
mnp-exchange,2197,udp,17,MNP data exchange,,,
onehome-remote,2198,tcp,6,OneHome Remote Access,,,
onehome-remote,2198,udp,17,OneHome Remote Access,,,
onehome-help,2199,tcp,6,OneHome Service Port,,,
onehome-help,2199,udp,17,OneHome Service Port,,,
ici,2200,tcp,6,ICI,,,
ici,2200,udp,17,ICI,,,
ats,2201,tcp,6,Advanced Training System Program,,,
ats,2201,udp,17,Advanced Training System Program,,,
imtc-map,2202,tcp,6,Int. Multimedia Teleconferencing Cosortium,,,
imtc-map,2202,udp,17,Int. Multimedia Teleconferencing Cosortium,,,
b2-runtime,2203,tcp,6,b2 Runtime Protocol,,,
b2-runtime,2203,udp,17,b2 Runtime Protocol,,,
b2-license,2204,tcp,6,b2 License Server,,,
b2-license,2204,udp,17,b2 License Server,,,
jps,2205,tcp,6,Java Presentation Server,,,
jps,2205,udp,17,Java Presentation Server,,,
hpocbus,2206,tcp,6,HP OpenCall bus,,,
hpocbus,2206,udp,17,HP OpenCall bus,,,
hpssd,2207,tcp,6,HP Status and Services,,,
hpssd,2207,udp,17,HP Status and Services,,,
hpiod,2208,tcp,6,HP I/O Backend,,,
hpiod,2208,udp,17,HP I/O Backend,,,
rimf-ps,2209,tcp,6,HP RIM for Files Portal Service,,,
rimf-ps,2209,udp,17,HP RIM for Files Portal Service,,,
noaaport,2210,tcp,6,NOAAPORT Broadcast Network,,,
noaaport,2210,udp,17,NOAAPORT Broadcast Network,,,
emwin,2211,tcp,6,EMWIN,,,
emwin,2211,udp,17,EMWIN,,,
leecoposserver,2212,tcp,6,LeeCO POS Server Service,,,
leecoposserver,2212,udp,17,LeeCO POS Server Service,,,
kali,2213,tcp,6,Kali,,,
kali,2213,udp,17,Kali,,,
rpi,2214,tcp,6,RDQ Protocol Interface,,,
rpi,2214,udp,17,RDQ Protocol Interface,,,
ipcore,2215,tcp,6,IPCore.co.za GPRS,,,
ipcore,2215,udp,17,IPCore.co.za GPRS,,,
vtu-comms,2216,tcp,6,VTU data service,,,
vtu-comms,2216,udp,17,VTU data service,,,
gotodevice,2217,tcp,6,GoToDevice Device Management,,,
gotodevice,2217,udp,17,GoToDevice Device Management,,,
bounzza,2218,tcp,6,Bounzza IRC Proxy,,,
bounzza,2218,udp,17,Bounzza IRC Proxy,,,
netiq-ncap,2219,tcp,6,NetIQ NCAP Protocol,,,
netiq-ncap,2219,udp,17,NetIQ NCAP Protocol,,,
netiq,2220,tcp,6,NetIQ End2End,,,
netiq,2220,udp,17,NetIQ End2End,,,
ethernet-ip-s,2221,tcp,6,EtherNet/IP over TLS,,,
ethernet-ip-s,2221,udp,17,EtherNet/IP over DTLS,,,
EtherNet-IP-1,2222,tcp,6,"EtherNet/IP I/O
IANA assigned this well-formed service name as a replacement for ""EtherNet/IP-1"".",,,New contact added for port 2222 on 2008-02-01
EtherNet/IP-1,2222,tcp,6,EtherNet/IP I/O,,,"New contact added for port 2222 on 2008-02-01
This entry is an alias to ""EtherNet-IP-1"".
This entry is now historic, not usable for use with many
common service discovery mechanisms."
EtherNet-IP-1,2222,udp,17,"EtherNet/IP I/O
IANA assigned this well-formed service name as a replacement for ""EtherNet/IP-1"".",,,New contact added for port 2222 on 2008-02-01
EtherNet/IP-1,2222,udp,17,EtherNet/IP I/O,,,"New contact added for port 2222 on 2008-02-01
This entry is an alias to ""EtherNet-IP-1"".
This entry is now historic, not usable for use with many
common service discovery mechanisms."
rockwell-csp2,2223,tcp,6,Rockwell CSP2,,,
rockwell-csp2,2223,udp,17,Rockwell CSP2,,,
efi-mg,2224,tcp,6,Easy Flexible Internet/Multiplayer Games,,,
efi-mg,2224,udp,17,Easy Flexible Internet/Multiplayer Games,,,
rcip-itu,2225,tcp,6,Resource Connection Initiation Protocol,,,
UNDEFINED,2225,udp,17,Reserved,,,
rcip-itu,2225,sctp,132,Resource Connection Initiation Protocol,,,
di-drm,2226,tcp,6,Digital Instinct DRM,,,
di-drm,2226,udp,17,Digital Instinct DRM,,,
di-msg,2227,tcp,6,DI Messaging Service,,,
di-msg,2227,udp,17,DI Messaging Service,,,
ehome-ms,2228,tcp,6,eHome Message Server,,,
ehome-ms,2228,udp,17,eHome Message Server,,,
datalens,2229,tcp,6,DataLens Service,,,
datalens,2229,udp,17,DataLens Service,,,
queueadm,2230,tcp,6,MetaSoft Job Queue Administration Service,,,
queueadm,2230,udp,17,MetaSoft Job Queue Administration Service,,,
wimaxasncp,2231,tcp,6,WiMAX ASN Control Plane Protocol,,,
wimaxasncp,2231,udp,17,WiMAX ASN Control Plane Protocol,,,
ivs-video,2232,tcp,6,IVS Video default,,,
ivs-video,2232,udp,17,IVS Video default,,,
infocrypt,2233,tcp,6,INFOCRYPT,,,
infocrypt,2233,udp,17,INFOCRYPT,,,
directplay,2234,tcp,6,DirectPlay,,,
directplay,2234,udp,17,DirectPlay,,,
sercomm-wlink,2235,tcp,6,Sercomm-WLink,,,
sercomm-wlink,2235,udp,17,Sercomm-WLink,,,
nani,2236,tcp,6,Nani,,,
nani,2236,udp,17,Nani,,,
optech-port1-lm,2237,tcp,6,Optech Port1 License Manager,,,
optech-port1-lm,2237,udp,17,Optech Port1 License Manager,,,
aviva-sna,2238,tcp,6,AVIVA SNA SERVER,,,
aviva-sna,2238,udp,17,AVIVA SNA SERVER,,,
imagequery,2239,tcp,6,Image Query,,,
imagequery,2239,udp,17,Image Query,,,
recipe,2240,tcp,6,RECIPe,,,
recipe,2240,udp,17,RECIPe,,,
ivsd,2241,tcp,6,IVS Daemon,,,
ivsd,2241,udp,17,IVS Daemon,,,
foliocorp,2242,tcp,6,Folio Remote Server,,,
foliocorp,2242,udp,17,Folio Remote Server,,,
magicom,2243,tcp,6,Magicom Protocol,,,
magicom,2243,udp,17,Magicom Protocol,,,
nmsserver,2244,tcp,6,NMS Server,,,
nmsserver,2244,udp,17,NMS Server,,,
hao,2245,tcp,6,HaO,,,
hao,2245,udp,17,HaO,,,
pc-mta-addrmap,2246,tcp,6,PacketCable MTA Addr Map,,,
pc-mta-addrmap,2246,udp,17,PacketCable MTA Addr Map,,,
antidotemgrsvr,2247,tcp,6,Antidote Deployment Manager Service,,,
antidotemgrsvr,2247,udp,17,Antidote Deployment Manager Service,,,
ums,2248,tcp,6,User Management Service,,,
ums,2248,udp,17,User Management Service,,,
rfmp,2249,tcp,6,RISO File Manager Protocol,,,
rfmp,2249,udp,17,RISO File Manager Protocol,,,
remote-collab,2250,tcp,6,remote-collab,,,
remote-collab,2250,udp,17,remote-collab,,,
dif-port,2251,tcp,6,Distributed Framework Port,,,
dif-port,2251,udp,17,Distributed Framework Port,,,
njenet-ssl,2252,tcp,6,NJENET using SSL,,,
njenet-ssl,2252,udp,17,NJENET using SSL,,,
dtv-chan-req,2253,tcp,6,DTV Channel Request,,,
dtv-chan-req,2253,udp,17,DTV Channel Request,,,
seispoc,2254,tcp,6,Seismic P.O.C. Port,,,
seispoc,2254,udp,17,Seismic P.O.C. Port,,,
vrtp,2255,tcp,6,VRTP - ViRtue Transfer Protocol,,,
vrtp,2255,udp,17,VRTP - ViRtue Transfer Protocol,,,
pcc-mfp,2256,tcp,6,PCC MFP,,,
pcc-mfp,2256,udp,17,PCC MFP,,,
simple-tx-rx,2257,tcp,6,simple text/file transfer,,,
simple-tx-rx,2257,udp,17,simple text/file transfer,,,
rcts,2258,tcp,6,Rotorcraft Communications Test System,,,
rcts,2258,udp,17,Rotorcraft Communications Test System,,,
UNDEFINED,2259,,,Unassigned,,,
apc-2260,2260,tcp,6,APC 2260,,,
apc-2260,2260,udp,17,APC 2260,,,
comotionmaster,2261,tcp,6,CoMotion Master Server,,,
comotionmaster,2261,udp,17,CoMotion Master Server,,,
comotionback,2262,tcp,6,CoMotion Backup Server,,,
comotionback,2262,udp,17,CoMotion Backup Server,,,
ecwcfg,2263,tcp,6,ECweb Configuration Service,,,
ecwcfg,2263,udp,17,ECweb Configuration Service,,,
apx500api-1,2264,tcp,6,Audio Precision Apx500 API Port 1,,,
apx500api-1,2264,udp,17,Audio Precision Apx500 API Port 1,,,
apx500api-2,2265,tcp,6,Audio Precision Apx500 API Port 2,,,
apx500api-2,2265,udp,17,Audio Precision Apx500 API Port 2,,,
mfserver,2266,tcp,6,M-Files Server,,,
mfserver,2266,udp,17,M-files Server,,,
ontobroker,2267,tcp,6,OntoBroker,,,
ontobroker,2267,udp,17,OntoBroker,,,
amt,2268,tcp,6,AMT,[RFC7450],,
amt,2268,udp,17,AMT,[RFC7450],,
mikey,2269,tcp,6,MIKEY,,,
mikey,2269,udp,17,MIKEY,,,
starschool,2270,tcp,6,starSchool,,,
starschool,2270,udp,17,starSchool,,,
mmcals,2271,tcp,6,Secure Meeting Maker Scheduling,,,
mmcals,2271,udp,17,Secure Meeting Maker Scheduling,,,
mmcal,2272,tcp,6,Meeting Maker Scheduling,,,
mmcal,2272,udp,17,Meeting Maker Scheduling,,,
mysql-im,2273,tcp,6,MySQL Instance Manager,,,
mysql-im,2273,udp,17,MySQL Instance Manager,,,
pcttunnell,2274,tcp,6,PCTTunneller,,,
pcttunnell,2274,udp,17,PCTTunneller,,,
ibridge-data,2275,tcp,6,iBridge Conferencing,,,
ibridge-data,2275,udp,17,iBridge Conferencing,,,
ibridge-mgmt,2276,tcp,6,iBridge Management,,,
ibridge-mgmt,2276,udp,17,iBridge Management,,,
bluectrlproxy,2277,tcp,6,Bt device control proxy,,,
bluectrlproxy,2277,udp,17,Bt device control proxy,,,
s3db,2278,tcp,6,Simple Stacked Sequences Database,,,
s3db,2278,udp,17,Simple Stacked Sequences Database,,,
xmquery,2279,tcp,6,xmquery,,,
xmquery,2279,udp,17,xmquery,,,
lnvpoller,2280,tcp,6,LNVPOLLER,,,
lnvpoller,2280,udp,17,LNVPOLLER,,,
lnvconsole,2281,tcp,6,LNVCONSOLE,,,
lnvconsole,2281,udp,17,LNVCONSOLE,,,
lnvalarm,2282,tcp,6,LNVALARM,,,
lnvalarm,2282,udp,17,LNVALARM,,,
lnvstatus,2283,tcp,6,LNVSTATUS,,,
lnvstatus,2283,udp,17,LNVSTATUS,,,
lnvmaps,2284,tcp,6,LNVMAPS,,,
lnvmaps,2284,udp,17,LNVMAPS,,,
lnvmailmon,2285,tcp,6,LNVMAILMON,,,
lnvmailmon,2285,udp,17,LNVMAILMON,,,
nas-metering,2286,tcp,6,NAS-Metering,,,
nas-metering,2286,udp,17,NAS-Metering,,,
dna,2287,tcp,6,DNA,,,
dna,2287,udp,17,DNA,,,
netml,2288,tcp,6,NETML,,,
netml,2288,udp,17,NETML,,,
dict-lookup,2289,tcp,6,Lookup dict server,,,
dict-lookup,2289,udp,17,Lookup dict server,,,
sonus-logging,2290,tcp,6,Sonus Logging Services,,,
sonus-logging,2290,udp,17,Sonus Logging Services,,,
eapsp,2291,tcp,6,EPSON Advanced Printer Share Protocol,,,
eapsp,2291,udp,17,EPSON Advanced Printer Share Protocol,,,
mib-streaming,2292,tcp,6,Sonus Element Management Services,,,
mib-streaming,2292,udp,17,Sonus Element Management Services,,,
npdbgmngr,2293,tcp,6,Network Platform Debug Manager,,,
npdbgmngr,2293,udp,17,Network Platform Debug Manager,,,
konshus-lm,2294,tcp,6,Konshus License Manager (FLEX),,,
konshus-lm,2294,udp,17,Konshus License Manager (FLEX),,,
advant-lm,2295,tcp,6,Advant License Manager,,,
advant-lm,2295,udp,17,Advant License Manager,,,
theta-lm,2296,tcp,6,Theta License Manager (Rainbow),,,
theta-lm,2296,udp,17,Theta License Manager (Rainbow),,,
d2k-datamover1,2297,tcp,6,D2K DataMover 1,,,
d2k-datamover1,2297,udp,17,D2K DataMover 1,,,
d2k-datamover2,2298,tcp,6,D2K DataMover 2,,,
d2k-datamover2,2298,udp,17,D2K DataMover 2,,,
pc-telecommute,2299,tcp,6,PC Telecommute,,,
pc-telecommute,2299,udp,17,PC Telecommute,,,
cvmmon,2300,tcp,6,CVMMON,,,
cvmmon,2300,udp,17,CVMMON,,,
cpq-wbem,2301,tcp,6,Compaq HTTP,,,
cpq-wbem,2301,udp,17,Compaq HTTP,,,
binderysupport,2302,tcp,6,Bindery Support,,,
binderysupport,2302,udp,17,Bindery Support,,,
proxy-gateway,2303,tcp,6,Proxy Gateway,,,
proxy-gateway,2303,udp,17,Proxy Gateway,,,
attachmate-uts,2304,tcp,6,Attachmate UTS,,,
attachmate-uts,2304,udp,17,Attachmate UTS,,,
mt-scaleserver,2305,tcp,6,MT ScaleServer,,,
mt-scaleserver,2305,udp,17,MT ScaleServer,,,
tappi-boxnet,2306,tcp,6,TAPPI BoxNet,,,
tappi-boxnet,2306,udp,17,TAPPI BoxNet,,,
pehelp,2307,tcp,6,pehelp,,,
pehelp,2307,udp,17,pehelp,,,
sdhelp,2308,tcp,6,sdhelp,,,
sdhelp,2308,udp,17,sdhelp,,,
sdserver,2309,tcp,6,SD Server,,,
sdserver,2309,udp,17,SD Server,,,
sdclient,2310,tcp,6,SD Client,,,
sdclient,2310,udp,17,SD Client,,,
messageservice,2311,tcp,6,Message Service,,,
messageservice,2311,udp,17,Message Service,,,
wanscaler,2312,tcp,6,WANScaler Communication Service,,,
wanscaler,2312,udp,17,WANScaler Communication Service,,,
iapp,2313,tcp,6,IAPP (Inter Access Point Protocol),,,
iapp,2313,udp,17,IAPP (Inter Access Point Protocol),,,
cr-websystems,2314,tcp,6,CR WebSystems,,,
cr-websystems,2314,udp,17,CR WebSystems,,,
precise-sft,2315,tcp,6,Precise Sft.,,,
precise-sft,2315,udp,17,Precise Sft.,,,
sent-lm,2316,tcp,6,SENT License Manager,,,
sent-lm,2316,udp,17,SENT License Manager,,,
attachmate-g32,2317,tcp,6,Attachmate G32,,,
attachmate-g32,2317,udp,17,Attachmate G32,,,
cadencecontrol,2318,tcp,6,Cadence Control,,,
cadencecontrol,2318,udp,17,Cadence Control,,,
infolibria,2319,tcp,6,InfoLibria,,,
infolibria,2319,udp,17,InfoLibria,,,
siebel-ns,2320,tcp,6,Siebel NS,,,
siebel-ns,2320,udp,17,Siebel NS,,,
rdlap,2321,tcp,6,RDLAP,,,
rdlap,2321,udp,17,RDLAP,,,
ofsd,2322,tcp,6,ofsd,,,
ofsd,2322,udp,17,ofsd,,,
3d-nfsd,2323,tcp,6,3d-nfsd,,,
3d-nfsd,2323,udp,17,3d-nfsd,,,
cosmocall,2324,tcp,6,Cosmocall,,,
cosmocall,2324,udp,17,Cosmocall,,,
ansysli,2325,tcp,6,ANSYS Licensing Interconnect,,,Modified: 27 October 2008
ansysli,2325,udp,17,ANSYS Licensing Interconnect,,,Modified: 27 October 2008
idcp,2326,tcp,6,IDCP,,,
idcp,2326,udp,17,IDCP,,,
xingcsm,2327,tcp,6,xingcsm,,,
xingcsm,2327,udp,17,xingcsm,,,
netrix-sftm,2328,tcp,6,Netrix SFTM,,,
netrix-sftm,2328,udp,17,Netrix SFTM,,,
nvd,2329,tcp,6,NVD,,,
nvd,2329,udp,17,NVD,,,
tscchat,2330,tcp,6,TSCCHAT,,,
tscchat,2330,udp,17,TSCCHAT,,,
agentview,2331,tcp,6,AGENTVIEW,,,
agentview,2331,udp,17,AGENTVIEW,,,
rcc-host,2332,tcp,6,RCC Host,,,
rcc-host,2332,udp,17,RCC Host,,,
snapp,2333,tcp,6,SNAPP,,,
snapp,2333,udp,17,SNAPP,,,
ace-client,2334,tcp,6,ACE Client Auth,,,
ace-client,2334,udp,17,ACE Client Auth,,,
ace-proxy,2335,tcp,6,ACE Proxy,,,
ace-proxy,2335,udp,17,ACE Proxy,,,
appleugcontrol,2336,tcp,6,Apple UG Control,,,
appleugcontrol,2336,udp,17,Apple UG Control,,,
ideesrv,2337,tcp,6,ideesrv,,,
ideesrv,2337,udp,17,ideesrv,,,
norton-lambert,2338,tcp,6,Norton Lambert,,,
norton-lambert,2338,udp,17,Norton Lambert,,,
3com-webview,2339,tcp,6,3Com WebView,,,
3com-webview,2339,udp,17,3Com WebView,,,
wrs-registry,2340,tcp,6,"WRS Registry
IANA assigned this well-formed service name as a replacement for ""wrs_registry"".",,,
wrs_registry,2340,tcp,6,WRS Registry,,,"This entry is an alias to ""wrs-registry"".
This entry is now historic, not usable for use with many
common service discovery mechanisms."
wrs-registry,2340,udp,17,"WRS Registry
IANA assigned this well-formed service name as a replacement for ""wrs_registry"".",,,
wrs_registry,2340,udp,17,WRS Registry,,,"This entry is an alias to ""wrs-registry"".
This entry is now historic, not usable for use with many
common service discovery mechanisms."
xiostatus,2341,tcp,6,XIO Status,,,
xiostatus,2341,udp,17,XIO Status,,,
manage-exec,2342,tcp,6,Seagate Manage Exec,,,
manage-exec,2342,udp,17,Seagate Manage Exec,,,
nati-logos,2343,tcp,6,nati logos,,,
nati-logos,2343,udp,17,nati logos,,,
fcmsys,2344,tcp,6,fcmsys,,,
fcmsys,2344,udp,17,fcmsys,,,
dbm,2345,tcp,6,dbm,,,
dbm,2345,udp,17,dbm,,,
redstorm-join,2346,tcp,6,"Game Connection Port
IANA assigned this well-formed service name as a replacement for ""redstorm_join"".",,,
redstorm_join,2346,tcp,6,Game Connection Port,,,"This entry is an alias to ""redstorm-join"".
This entry is now historic, not usable for use with many
common service discovery mechanisms."
redstorm-join,2346,udp,17,"Game Connection Port
IANA assigned this well-formed service name as a replacement for ""redstorm_join"".",,,
redstorm_join,2346,udp,17,Game Connection Port,,,"This entry is an alias to ""redstorm-join"".
This entry is now historic, not usable for use with many
common service discovery mechanisms."
redstorm-find,2347,tcp,6,"Game Announcement and Location
IANA assigned this well-formed service name as a replacement for ""redstorm_find"".",,,
redstorm_find,2347,tcp,6,Game Announcement and Location,,,"This entry is an alias to ""redstorm-find"".
This entry is now historic, not usable for use with many
common service discovery mechanisms."
redstorm-find,2347,udp,17,"Game Announcement and Location
IANA assigned this well-formed service name as a replacement for ""redstorm_find"".",,,
redstorm_find,2347,udp,17,Game Announcement and Location,,,"This entry is an alias to ""redstorm-find"".
This entry is now historic, not usable for use with many
common service discovery mechanisms."
redstorm-info,2348,tcp,6,"Information to query for game status
IANA assigned this well-formed service name as a replacement for ""redstorm_info"".",,,
